entidad_a,enticve1,numeral,nombre1,rnspni1,nombre2,elepro1,elepro2,elepro3,elepro4,elepro5,elepro6,elepro7,elepro8,elepro9,elepro10,elepro11,elepro12,elepro13
17,17,43,HOSPITAL DEL NIÑO MORELENSE,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,44,SERVICIOS DE SALUD DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,,,,1,,,,
17,17,45,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE MORELOS,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,46,INSTITUTO DE CAPACITACION PARA EL TRABAJO DEL ESTADO DE MORELOS,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,47,INSTITUTO DE EDUCACION BASICA DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,,,,1,,,,
17,17,48,INSTITUTO ESTATAL DE EDUCACION PARA ADULTOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,,,,1,,,,
17,17,49,COLEGIO DE BACHILLERES DEL ESTADO DE MORELOS,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,50,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,,,,1,,,,
17,17,51,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,1,,1,,1,1,1,,,,
17,17,52,UNIVERSIDAD POLITECNICA DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,1,1,1,1,,1,1,,,,
17,17,53,UNIVERSIDAD TECNOLOGICA EMILIANO ZAPATA DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,,1,1,1,,,,
17,17,54,UNIVERSIDAD TECNOLOGICA DEL SUR DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,1,1,,1,,1,1,,1,
17,17,55,CONSEJO DE CIENCIA Y TECNOLOGIA DEL ESTADO DE MORELOS,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,56,INSTITUTO ESTATAL DE INFRAESTRUCTURA EDUCATIVA,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,,,1,,,,,
17,17,57,INSTITUTO DEL DEPORTE Y CULTURA FISICA DEL ESTADO DE MORELOS,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,58,CENTRO MORELENSE DE LAS ARTES,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,59,MUSEO MORELENSE DE ARTE POPULAR,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,,,1,,,,,
17,17,60,AEROPUERTO DE CUERNAVACA SA DE CV,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,61,OPERADOR DE CARRETERAS DE CUOTA,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,,,,,,,,
17,17,62,INSTITUTO MORELENSE PARA EL FINANCIAMIENTO DEL SECTOR PRODUCTIVO,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,63,CENTRO DE CONCILIACION LABORAL,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,64,FIDEICOMISO TURISMO MORELOS,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,65,FIDEICOMISO LAGO DE TEQUESQUITENGO,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,66,FIDEICOMISO MUSEO MORELENSE DE ARTE CONTEMPORANEO JUAN SORIANO,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,67,FIDEICOMISO CENTRO CULTURAL TEOPANZOLCO,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
